학원명,카테고리,지번주소,도로명주소,전화번호,위도,경도,거리(km),검색키워드,링크
리더스태권도합기도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 양기리 615,경기 안성시 공도읍 양기길 26,,37.006804501552594,127.1983679599315,0.28,태권도,http://place.map.kakao.com/760653095
한얼태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 양기리 567-1,경기 안성시 공도읍 양기길 48,010-5459-0326,37.00572353049904,127.2008537712331,0.43,태권도,http://place.map.kakao.com/2052860614
우리아이태권도장 문기점,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 양기리 332-5,경기 안성시 공도읍 서동대로 4418,010-7775-7900,37.0073968015986,127.193276423314,0.55,태권도,http://place.map.kakao.com/1615132505
정호태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 마정리 112-28,경기 안성시 공도읍 하마정길 14,031-618-1053,37.0160167225932,127.202348386965,0.81,태권도,http://place.map.kakao.com/10717590
최강태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 만정리 781-2,경기 안성시 공도읍 송원길 37,031-653-3107,37.0074579815175,127.174124437342,2.22,태권도,http://place.map.kakao.com/8583347
웨이브스위밍,"스포츠,레저 > 수영,수상 > 수영장",경기 안성시 공도읍 양기리 521-32,경기 안성시 공도읍 정봉길 109,0502-5553-5716,36.9945633338279,127.182050718083,2.22,수영,http://place.map.kakao.com/549381439
산들수영장 안성점,"스포츠,레저 > 수영,수상 > 수영장",경기 안성시 공도읍 양기리 521-32,경기 안성시 공도읍 정봉길 109,031-657-8601,36.99453988512242,127.18206414258624,2.22,수영,http://place.map.kakao.com/1032949292
케이타이거즈 삼성태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 만정리 274-3,경기 안성시 공도읍 공도로 132,,37.0014733988107,127.175081465772,2.29,태권도,http://place.map.kakao.com/702155755
KST삼성태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 만정리 274-3,경기 안성시 공도읍 공도로 132,,37.0013546668894,127.174938513263,2.31,태권도,http://place.map.kakao.com/129224626
용인대 어울태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 대덕면 신령리 820,경기 안성시 대덕면 서동대로 4725,031-676-4322,37.01391605383449,127.2250113488328,2.37,태권도,http://place.map.kakao.com/358572255
본주짓수 안성,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 공도읍 만정리 424-30,경기 안성시 공도읍 공도로 98,010-2568-3658,36.9998804374757,127.171896217157,2.62,체육관,http://place.map.kakao.com/1268169060
서안성체육센터 야외주차장,"교통,수송 > 교통시설 > 주차장",경기 안성시 공도읍 용두리 83,,,37.0082280755915,127.1681027466,2.74,체육관,http://place.map.kakao.com/1084122729
서안성체육센터,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 공도읍 용두리 83,경기 안성시 공도읍 용머리큰길 20,031-653-0705,37.00798607059233,127.1678303111144,2.77,체육관,http://place.map.kakao.com/910065889
공도ACT태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 용두리 158-8,경기 안성시 공도읍 공도1로 25,,37.0011581813864,127.168748900994,2.83,태권도,http://place.map.kakao.com/1018184094
중앙대학교 다빈치캠퍼스 수림체육관,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 대덕면 내리 10-1,경기 안성시 대덕면 서동대로 4726,031-670-4522,37.00209179783138,127.23079610701281,2.93,체육관,http://place.map.kakao.com/19582937
용인대최강태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 용두리 755,경기 안성시 공도읍 공도로 51-14,010-4144-3107,37.000761172315634,127.1672156268667,2.98,태권도,http://place.map.kakao.com/2122240777
중앙대학교 다빈치캠퍼스 청룡체육관,"교육,학문 > 학교부속시설",경기 안성시 대덕면 내리 745-1,경기 안성시 대덕면 서동대로 4726,,37.00027445411016,127.23257352860423,3.15,체육관,http://place.map.kakao.com/17564808
경희대다올태권도파워점핑,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 승두리 72-2,경기 안성시 공도읍 공도로 44,010-5038-3235,36.998147665239,127.16619657951,3.16,태권도,http://place.map.kakao.com/1285654542
도전해동검도 공도관,"스포츠,레저 > 무예 > 검도 > 검도장",경기 안성시 공도읍 승두리 72-2,경기 안성시 공도읍 공도로 44,010-9482-5766,36.998148563172,127.166198828303,3.16,검도,http://place.map.kakao.com/67606797
송종국축구교실 안성공도점,"스포츠,레저 > 축구",경기 안성시 공도읍 승두리 115-13,경기 안성시 공도읍 승두2길 24-2,,36.9950549181664,127.167005418815,3.25,축구교실,http://place.map.kakao.com/1045019165
경희대 국가대표 태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 용두리 238,경기 안성시 공도읍 기업단지로 57-7,031-652-0700,37.0019421958625,127.159574086089,3.59,태권도,http://place.map.kakao.com/27558558
도전블랙벨트센터 공도관,"스포츠,레저 > 무예 > 검도 > 검도장",경기 안성시 공도읍 용두리 234-8,경기 안성시 공도읍 기업단지로 57-13,,37.0015870928771,127.158959929177,3.66,검도,http://place.map.kakao.com/226210007
도전해동검도용두관,"스포츠,레저 > 무예 > 검도 > 검도장",경기 안성시 공도읍 용두리 234-8,경기 안성시 공도읍 기업단지로 57-13,,37.0015177549501,127.15892608075,3.66,검도,http://place.map.kakao.com/1325164177
우리아이태권스쿨,"스포츠,레저 > 무예 > 태권도",경기 안성시 공도읍 용두리 234-12,경기 안성시 공도읍 기업단지로 57-15,031-652-5420,37.0014098675487,127.158744977895,3.68,태권도,http://place.map.kakao.com/1988785777
바른태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 용두리 758,경기 안성시 공도읍 서동대로 4059,010-2724-2381,37.0022044113194,127.156186220163,3.88,태권도,http://place.map.kakao.com/1509859998
용인대 비호태권도장&줄넘기 2관,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 공도읍 용두리 758,경기 안성시 공도읍 서동대로 4059,,37.0021801087879,127.156165947827,3.88,태권도,http://place.map.kakao.com/476683687
경희대석사 고려태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 원곡면 반제리 743,경기 안성시 원곡면 벚꽃길 73,031-654-6113,37.002946436970205,127.15238472305543,4.2,태권도,http://place.map.kakao.com/15681228
안성시복싱체육관,"스포츠,레저 > 복싱,권투 > 복싱,권투장",경기 안성시 신건지동 58-2,경기 안성시 공단1로 16-15,031-674-8084,37.0163271486368,127.247728148097,4.4,체육관,http://place.map.kakao.com/11101316
신흥근린공원 물놀이터,"스포츠,레저 > 수영,수상 > 수영장 > 어린이수영장",경기 평택시 용이동 744-1,,,37.0037093611087,127.149066298297,4.48,수영,http://place.map.kakao.com/1797678261
용인대 청용태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 용이동 491-1,경기 평택시 현신7길 29,031-655-3757,36.9992524314029,127.14777013976341,4.68,태권도,http://place.map.kakao.com/233601248
용인대비호태권도장 본관,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 옥산동 554-1,경기 안성시 아양3로 49,031-672-2949,37.00649221185131,127.25269935727914,4.78,태권도,http://place.map.kakao.com/1838916700
용인대정도태권도장 2관,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 안성시 옥산동 554-3,경기 안성시 아양3로 45,,37.0060876326221,127.252696894568,4.78,태권도,http://place.map.kakao.com/909732419
JC태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 용이동 742-1,경기 평택시 신흥1로1길 22,031-657-7744,37.001566844593,127.145961337754,4.79,태권도,http://place.map.kakao.com/734758194
키즈스플래쉬스윔 스타필드안성,"스포츠,레저 > 수영,수상 > 수영장 > 어린이수영장",경기 안성시 공도읍 진사리 354,경기 안성시 공도읍 서동대로 3930-39,031-8092-1313,36.9940505390455,127.148448694288,4.8,수영,http://place.map.kakao.com/174547970
